path,offset_sec,vstart_sec
pretrain/-FOCpMAww28/00002,1.4,0.16
pretrain/-FOCpMAww28/00004,0.4,0.6
pretrain/-FOCpMAww28/00005,1.0,0.56
pretrain/-FOCpMAww28/00006,0.0,1.16
pretrain/-FOCpMAww28/00014,1.6,1.24
pretrain/-FOCpMAww28/00016,-0.8,2.2
pretrain/-FOCpMAww28/00020,1.2,0.68
pretrain/-FOCpMAww28/00022,-0.6,2.92
pretrain/-FOCpMAww28/00023,-1.8,2.88
pretrain/-Ht4qiDRZE8/00008,1.0,0.2
pretrain/-Ht4qiDRZE8/00009,1.8,0.2
pretrain/-Ht4qiDRZE8/00010,-0.4,1.08
pretrain/-Ht4qiDRZE8/00015,0.6,0.04
pretrain/-Ht4qiDRZE8/00016,0.2,1.2
pretrain/-Ht4qiDRZE8/00017,-2.0,2.84
pretrain/-Ht4qiDRZE8/00018,-0.6,1.52
pretrain/-Ht4qiDRZE8/00020,0.6,0.56
pretrain/-Ht4qiDRZE8/00022,0.6,1.8
pretrain/-Ht4qiDRZE8/00027,-1.0,2.44
pretrain/-Qe8cR4Jl10/00004,0.8,1.12
pretrain/-Qe8cR4Jl10/00007,2.0,0.04
pretrain/-Qe8cR4Jl10/00008,-2.0,2.4
pretrain/-Qe8cR4Jl10/00009,-1.6,2.68
pretrain/-Qe8cR4Jl10/00014,-2.0,2.04
pretrain/-Qe8cR4Jl10/00017,1.6,0.88
pretrain/-Qe8cR4Jl10/00019,0.0,1.44
pretrain/-Qe8cR4Jl10/00030,-0.6,2.48
pretrain/-Z-ul0GzzM4/00017,-1.8,1.84
pretrain/-Z-ul0GzzM4/00019,-0.8,0.84
pretrain/-Z-ul0GzzM4/00024,-0.6,1.04
pretrain/-Z-ul0GzzM4/00036,-0.6,2.84
pretrain/-Z-vyLHi2us/00001,1.0,1.8
pretrain/-Z-vyLHi2us/00002,-0.8,2.2
pretrain/-Z-vyLHi2us/00003,-0.4,1.28
pretrain/-Z-vyLHi2us/00004,0.6,1.96
pretrain/-Z-vyLHi2us/00005,1.6,1.24
pretrain/-Z-vyLHi2us/00007,2.0,0.16
pretrain/-cvI1jKxlTM/00001,1.2,0.44
