Ref: C8zY0oAdQrs
AUDIO SEGMENT (start_sec duration_sec):
338.16 15.68
RGB:
FRAME X Y W H
008454 0.616 0.146 0.085 0.151
008455 0.616 0.146 0.084 0.150
008456 0.616 0.144 0.084 0.150
008457 0.616 0.142 0.084 0.150
008458 0.616 0.143 0.082 0.146
008459 0.616 0.142 0.081 0.144
008460 0.618 0.143 0.077 0.138
008461 0.619 0.143 0.075 0.133
008462 0.620 0.143 0.072 0.128
008463 0.620 0.143 0.072 0.128
008464 0.617 0.146 0.074 0.132
008465 0.614 0.146 0.080 0.142
008466 0.614 0.150 0.077 0.138
008467 0.613 0.153 0.078 0.139
008468 0.613 0.157 0.078 0.139
008469 0.612 0.157 0.077 0.138
008470 0.612 0.157 0.078 0.139
008471 0.612 0.158 0.077 0.138
008472 0.613 0.160 0.076 0.135
008473 0.613 0.160 0.076 0.135
008474 0.615 0.160 0.076 0.135
008475 0.615 0.160 0.076 0.135
008476 0.616 0.160 0.076 0.135
008477 0.616 0.158 0.077 0.138
008478 0.618 0.157 0.078 0.139
008479 0.619 0.157 0.077 0.136
008480 0.621 0.156 0.077 0.136
008481 0.622 0.154 0.078 0.139
008482 0.623 0.153 0.078 0.139
008483 0.627 0.147 0.079 0.140
008484 0.629 0.146 0.079 0.140
008485 0.633 0.146 0.078 0.139
008486 0.634 0.142 0.080 0.142
008487 0.636 0.142 0.080 0.142
008488 0.645 0.144 0.074 0.132
008489 0.646 0.144 0.074 0.132
008490 0.650 0.143 0.076 0.135
008491 0.653 0.142 0.077 0.136
008492 0.655 0.140 0.076 0.135
008493 0.659 0.139 0.076 0.135
008494 0.661 0.138 0.078 0.139
008495 0.662 0.138 0.078 0.139
008496 0.663 0.135 0.078 0.139
008497 0.663 0.135 0.080 0.142
008498 0.665 0.135 0.078 0.139
008499 0.666 0.135 0.077 0.136
008500 0.666 0.136 0.076 0.135
008501 0.668 0.139 0.076 0.135
008502 0.668 0.139 0.075 0.133
008503 0.665 0.139 0.077 0.138
008504 0.664 0.142 0.077 0.136
008505 0.662 0.140 0.078 0.139
008506 0.661 0.142 0.078 0.139
008507 0.659 0.140 0.079 0.140
008508 0.657 0.140 0.080 0.143
008509 0.659 0.142 0.078 0.139
008510 0.659 0.142 0.076 0.135
008511 0.656 0.140 0.077 0.138
008512 0.655 0.139 0.078 0.139
008513 0.653 0.143 0.078 0.139
008514 0.652 0.147 0.076 0.135
008515 0.650 0.146 0.077 0.138
008516 0.647 0.147 0.078 0.139
008517 0.645 0.146 0.078 0.139
008518 0.637 0.144 0.081 0.144
008519 0.636 0.142 0.081 0.144
008520 0.637 0.143 0.078 0.139
008521 0.636 0.143 0.078 0.139
008522 0.635 0.143 0.077 0.136
008523 0.636 0.144 0.077 0.136
008524 0.634 0.142 0.081 0.144
008525 0.633 0.142 0.084 0.149
008526 0.634 0.142 0.082 0.146
008527 0.635 0.144 0.082 0.146
008528 0.637 0.149 0.082 0.146
008529 0.637 0.147 0.083 0.147
008530 0.638 0.147 0.082 0.146
008531 0.640 0.150 0.081 0.144
008532 0.642 0.150 0.080 0.142
008533 0.646 0.153 0.078 0.139
008534 0.647 0.154 0.079 0.140
008535 0.648 0.157 0.077 0.136
008536 0.648 0.154 0.077 0.136
008537 0.650 0.153 0.077 0.136
008538 0.649 0.151 0.078 0.139
008539 0.649 0.150 0.078 0.139
008540 0.648 0.149 0.081 0.144
008541 0.649 0.149 0.080 0.142
008542 0.650 0.150 0.078 0.139
008543 0.655 0.146 0.078 0.139
008544 0.656 0.146 0.077 0.136
008545 0.656 0.144 0.078 0.139
008546 0.659 0.143 0.076 0.135
008547 0.659 0.142 0.076 0.135
008548 0.662 0.139 0.078 0.139
008549 0.662 0.140 0.076 0.135
008550 0.664 0.140 0.074 0.132
008551 0.665 0.139 0.076 0.135
008552 0.666 0.142 0.074 0.132
008553 0.670 0.140 0.074 0.132
008554 0.673 0.140 0.074 0.132
008555 0.675 0.142 0.074 0.132
008556 0.677 0.142 0.073 0.131
008557 0.680 0.142 0.072 0.128
008558 0.680 0.142 0.075 0.133
008559 0.681 0.142 0.074 0.132
008560 0.683 0.139 0.076 0.135
008561 0.683 0.139 0.077 0.138
008562 0.683 0.140 0.077 0.138
008563 0.684 0.142 0.077 0.136
008564 0.684 0.140 0.078 0.139
008565 0.684 0.139 0.077 0.138
008566 0.686 0.139 0.076 0.135
