Ref: C8zY0oAdQrs
AUDIO SEGMENT (start_sec duration_sec):
338.16 15.68
RGB:
FRAME X Y W H
008454 0.000 0.000 1.000 1.000
008455 0.000 0.000 1.000 1.000
008456 0.000 0.000 1.000 1.000
008457 0.000 0.000 1.000 1.000
008458 0.000 0.000 1.000 1.000
008459 0.000 0.000 1.000 1.000
008460 0.000 0.000 1.000 1.000
008461 0.000 0.000 1.000 1.000
008462 0.000 0.000 1.000 1.000
008463 0.000 0.000 1.000 1.000
008464 0.000 0.000 1.000 1.000
008465 0.000 0.000 1.000 1.000
008466 0.000 0.000 1.000 1.000
008467 0.000 0.000 1.000 1.000
008468 0.000 0.000 1.000 1.000
008469 0.000 0.000 1.000 1.000
008470 0.000 0.000 1.000 1.000
008471 0.000 0.000 1.000 1.000
008472 0.000 0.000 1.000 1.000
008473 0.000 0.000 1.000 1.000
008474 0.000 0.000 1.000 1.000
008475 0.000 0.000 1.000 1.000
008476 0.000 0.000 1.000 1.000
008477 0.000 0.000 1.000 1.000
008478 0.000 0.000 1.000 1.000
008479 0.000 0.000 1.000 1.000
008480 0.000 0.000 1.000 1.000
008481 0.000 0.000 1.000 1.000
008482 0.000 0.000 1.000 1.000
008483 0.000 0.000 1.000 1.000
008484 0.000 0.000 1.000 1.000
008485 0.000 0.000 1.000 1.000
008486 0.000 0.000 1.000 1.000
008487 0.000 0.000 1.000 1.000
008488 0.000 0.000 1.000 1.000
008489 0.000 0.000 1.000 1.000
008490 0.000 0.000 1.000 1.000
008491 0.000 0.000 1.000 1.000
008492 0.000 0.000 1.000 1.000
008493 0.000 0.000 1.000 1.000
008494 0.000 0.000 1.000 1.000
008495 0.000 0.000 1.000 1.000
008496 0.000 0.000 1.000 1.000
008497 0.000 0.000 1.000 1.000
008498 0.000 0.000 1.000 1.000
008499 0.000 0.000 1.000 1.000
008500 0.000 0.000 1.000 1.000
008501 0.000 0.000 1.000 1.000
008502 0.000 0.000 1.000 1.000
008503 0.000 0.000 1.000 1.000
008504 0.000 0.000 1.000 1.000
008505 0.000 0.000 1.000 1.000
008506 0.000 0.000 1.000 1.000
008507 0.000 0.000 1.000 1.000
008508 0.000 0.000 1.000 1.000
008509 0.000 0.000 1.000 1.000
008510 0.000 0.000 1.000 1.000
008511 0.000 0.000 1.000 1.000
008512 0.000 0.000 1.000 1.000
008513 0.000 0.000 1.000 1.000
008514 0.000 0.000 1.000 1.000
008515 0.000 0.000 1.000 1.000
008516 0.000 0.000 1.000 1.000
008517 0.000 0.000 1.000 1.000
008518 0.000 0.000 1.000 1.000
008519 0.000 0.000 1.000 1.000
008520 0.000 0.000 1.000 1.000
008521 0.000 0.000 1.000 1.000
008522 0.000 0.000 1.000 1.000
008523 0.000 0.000 1.000 1.000
008524 0.000 0.000 1.000 1.000
008525 0.000 0.000 1.000 1.000
008526 0.000 0.000 1.000 1.000
008527 0.000 0.000 1.000 1.000
008528 0.000 0.000 1.000 1.000
008529 0.000 0.000 1.000 1.000
008530 0.000 0.000 1.000 1.000
008531 0.000 0.000 1.000 1.000
008532 0.000 0.000 1.000 1.000
008533 0.000 0.000 1.000 1.000
008534 0.000 0.000 1.000 1.000
008535 0.000 0.000 1.000 1.000
008536 0.000 0.000 1.000 1.000
008537 0.000 0.000 1.000 1.000
008538 0.000 0.000 1.000 1.000
008539 0.000 0.000 1.000 1.000
008540 0.000 0.000 1.000 1.000
008541 0.000 0.000 1.000 1.000
008542 0.000 0.000 1.000 1.000
008543 0.000 0.000 1.000 1.000
008544 0.000 0.000 1.000 1.000
008545 0.000 0.000 1.000 1.000
008546 0.000 0.000 1.000 1.000
008547 0.000 0.000 1.000 1.000
008548 0.000 0.000 1.000 1.000
008549 0.000 0.000 1.000 1.000
008550 0.000 0.000 1.000 1.000
008551 0.000 0.000 1.000 1.000
008552 0.000 0.000 1.000 1.000
008553 0.000 0.000 1.000 1.000
008554 0.000 0.000 1.000 1.000
008555 0.000 0.000 1.000 1.000
008556 0.000 0.000 1.000 1.000
008557 0.000 0.000 1.000 1.000
008558 0.000 0.000 1.000 1.000
008559 0.000 0.000 1.000 1.000
008560 0.000 0.000 1.000 1.000
008561 0.000 0.000 1.000 1.000
008562 0.000 0.000 1.000 1.000
008563 0.000 0.000 1.000 1.000
008564 0.000 0.000 1.000 1.000
008565 0.000 0.000 1.000 1.000
008566 0.000 0.000 1.000 1.000
008567 0.000 0.000 1.000 1.000
008568 0.000 0.000 1.000 1.000
008569 0.000 0.000 1.000 1.000
008570 0.000 0.000 1.000 1.000
008571 0.000 0.000 1.000 1.000
008572 0.000 0.000 1.000 1.000
008573 0.000 0.000 1.000 1.000
008574 0.000 0.000 1.000 1.000
